노트 (Note),주요 계열,한글 설명
Musk,Animal,포근하고 부드러운 살냄새
Bergamot,Citrus,레몬보다 차분하고 고급스러운 상큼한 감귤향
Patchouli,Earthy,비 온 뒤 젖은 흙에서 나는 쌉싸름하고 깊은 나무 향
Sandalwood,Woody,절에서 나는 듯한 차분하고 부드러운 나무 향
Amber,Resinous,따뜻하고 달콤한 온기가 묵직하게 느껴지는 향
Jasmine,Floral,갓 꺾은 풀 냄새가 살짝 섞인 진한 꽃 냄새
Vetiver,Earthy,마른 풀뿌리에서 나는 듯한 묵직하고 거친 흙 내음
Tonka bean,Gourmand,바닐라의 달콤함 아몬드의 고소함 그리고 계피향이 조화를 이루는 따스하고 포근한 향
Cedarwood,Woody,연필을 깎을 때 나는 듯한 건조하고 깨끗한 나무 향
Iris,Floral,보들보들한 파우더나 고급스러운 분에서 나는 향
Pink pepper,Spicy,과일의 신선함과 약간의 달콤함이 가미된 후추 향
Orange blossom,Floral,오렌지 나무의 꽃에서 나는 달콤하고 깨끗한 향
Frankincense,Resinous,상쾌한 솔향과 함께 달콤하고 은은한 레몬 느낌이 어우러진 향
White musk,Animal,갓 씻고 나온 듯 깨끗하고 보송보송한 비누 살냄새
Ylang-ylang,Floral,천천히 포근하게 감싸주는 느낌의 부드럽고 달콤한 꽃향기
Benzoin,Resinous,달콤한 바닐라 사탕 같은 느낌의 따뜻한 나무 향
Lavender,Fougère,부드러운 꽃향과 상쾌한 허브 향이 섞인 깨끗하고 편안한 향
Oud,Woody,오래된 고목에서 나는 듯한 매우 진하고 묵직한 나무 향
Cardamom,Spicy,보다 상쾌하고 시원한 느낌이 있으며 아주 옅은 레몬향도 나는 생강 향
Neroli,Floral,오렌지 꽃에서 추출한 갓 딴 과일처럼 싱그러운 꽃향
Violet,Floral,부드럽고 은은한 꽃향기를 기본으로 약간의 풀 냄새와 후추 향이 섞인 우아한 향
Lily of the valley,Floral,봄을 알리는 깨끗하고 투명한 느낌의 은은하고 달콤한 향
Oakmoss,Chypre,촉촉한 숲속 바위의 이끼에서 나는 서늘한 향
Ambergris,Animal,바다를 담은 듯한 짭조름하고 묵직하면서 고급스러운 향
Saffron,Oriental,약간 씁쓸하면서도 달콤한 여운을 남기는 가죽 같은 느낌의 향
Labdanum,Resinous,진하고 끈적한 느낌의 달콤하면서도 가죽 같은 향
Geranium,Floral,장미와 비슷하면서도 좀 더 풀의 싱그러움이 섞인 향
Tuberose,Floral,크리미한 꽃이 코앞에 확 튀어나온 것처럼 풍성하고 묵직한 느낌
Black pepper,Spicy,맵싸하고 강렬한 자극의 후추 향
Gaiac wood,Woody,장작을 태울 때 나는 듯한 훈연 향이 달콤하게 섞인 나무 향
Nutmeg,Spicy,고소하고 달콤하면서도 톡 쏘는 듯한 나무 향이 어우러진 복합적인 향
Bourbon vanilla,Gourmand,구운 나무에 깊고 풍부하며 아주 달콤한 고품질 바닐라 향
Peony,Floral,비누처럼 산뜻하고 물기 머금은 느낌의 깨끗하고 연한 꽃향기
Heliotrope,Floral,화장대에서 나는 달콤한 바닐라 따뜻한 아몬드와 파우더리한 향
Magnolia,Floral,달지 않고 깨끗한 비누에 물기와 풀잎 기운이 섞인 향
Blackcurrant,Fruity,새콤달콤하면서도 쌉싸름한 풀향이 어우러진 싱그러운 과일향
Bulgarian rose,Floral,달콤함보다 생꽃의 물기와 풀기운이 먼저 느껴지는 진하고 생생한 장미 향
Jasmine sambac,Floral,중국집 차에서 나는 진하고 달콤한 꽃향기
Clove,Spicy,치과 냄새처럼 강렬하고 톡 쏘는 매운 향신료 향
Aldehydes,Synthetic,갓 세탁한 옷에서 나는 쨍하고 깨끗한 비누 거품 향
Galbanum,Green,젖은 나뭇잎이나 줄기에서 나는 쌉싸름한 풀 향
Petitgrain,Green,오렌지 나무의 잎과 줄기에서 나는 쌉싸름한 풀 향
Basil,Fresh,톡 쏘는 듯한 알싸함과 맑고 상쾌한 풀 내음이 특징인 신선한 허브 향
Green notes,Green,숲이나 잔디밭을 거닐 때 느껴지는 싱그러운 풀냄새
Orris root,Powdery,우아하고 클래식하며 부드러운 파우더리함과 은은한 흙내음 그리고 약간의 달콤함이 섞인 신비롭고 청순한 향
Aquatic notes,Aquatic,넓은 바다나 시원한 계곡물이 연상되는 비릿한 물 향
Marine notes,Aquatic,바닷바람 짠 소금기 맑은 물 향을 재현하여 시원하고 청량한 느낌을 주는 향
Cashmere,Creamy,부드럽고 따뜻한 나무향이 조화를 이루어 포근하고 차분한 향
Smoky notes,Smoky,모닥불이 타올라 재가 남은 듯한 그을린 연기 향
